ticker,asof_date,confidence,entry,stop,target,max_hold_days,outcome,exit_price,ret_pct,hold_sessions,ret_5d_pct,ret_10d_pct,vol_ratio,atr_pct,breakout_dist_pct
ALGM,2026-01-30,92,37.98,35.36105357142856,43.21789285714286,5,time,41.56999969482422,9.452342535082208,5,12.333629103815413,17.767441860465105,3.6504039684048477,4.597062363650045,-7.318451539983036
ALGM,2026-01-30,92,37.98,35.36105357142856,43.21789285714286,5,time,41.56999969482422,9.452342535082208,5,12.333629103815413,17.767441860465105,3.6504039684048477,4.597062363650045,-7.318451539983036
ALGM,2026-01-30,92,37.97999954223633,35.36099828992571,43.21800204685756,5,time,41.56999969482422,9.452343854284589,5,12.33362318713036,17.76744044104288,3.6502794127522566,4.59715865170581,-7.318452097361337
ALGM,2026-01-30,92,37.97999954223633,35.36099828992571,43.21800204685756,5,time,41.56999969482422,9.452343854284589,5,12.33362318713036,17.76744044104288,3.6502794127522566,4.59715865170581,-7.318452097361337
AEHR,2026-02-12,98,33.85,28.990010714285717,43.56997857142858,5,stop,28.990010714285717,-14.357427727368641,1,42.047838858581635,20.979270907791282,3.918571205026756,9.571618484912431,-6.318824556664639
ANAB,2026-02-12,85,55.25,50.244125000000004,65.26174999999999,5,stop,50.244125000000004,-9.060407239818998,1,14.200082678792892,16.43835616438356,2.9210914299400383,6.040271493212666,-6.188737266961366
BFLY,2026-02-27,100,4.67,4.2149214285714285,5.580157142857143,5,stop,4.2149214285714285,-9.744723156928725,1,52.61437908496731,42.37804878048781,9.106237263459763,6.496482104619147,-4.241071428571417
BCRX,2026-03-02,100,8.75,8.252214285714285,9.745571428571429,5,time,8.619999885559082,-1.485715593610491,5,17.4496644295302,28.676470588235304,3.69864589346874,3.7926530612244926,-6.772422208663816
BGS,2026-03-05,84,5.87,5.434314285714286,6.741371428571429,5,stop,5.434314285714286,-7.422243854952545,1,10.754716981132084,18.585858585858595,2.7881534512126747,4.948162569968363,-6.533575317604362
BRCB,2026-03-05,92,16.22,14.503357142857142,19.653285714285712,5,time,16.229999542236328,0.06164945891694983,5,28.628072957969852,21.8632607062359,2.7116307597008547,7.055663202395632,-0.5579665220086787
BW,2026-03-05,100,11.8,10.38501785714286,14.629964285714285,5,target,14.629964285714285,23.98274818401936,3,29.24424972617743,25.799573560767584,6.184494889110843,7.99424939467312,-1.987899740708733
BW,2026-03-06,99,13.29,11.762517857142857,16.344964285714283,5,stop,11.762517857142857,-11.493469848435984,5,44.61371055495103,42.29122055674517,3.572859518687384,7.662313232290656,-10.473815461346632
DDD,2026-03-09,99,2.494999885559082,2.2594463101455142,2.966107036386217,5,time,2.430000066757202,-2.6052032778877123,5,22.303918245800205,21.707314321641547,3.7813273625275796,6.294016999811995,-7.543101609993438
DDD,2026-03-09,98,2.484999895095825,2.248214189495359,2.9585713062967574,5,time,2.430000066757202,-2.213272863599142,5,21.813722625689834,21.21950989745325,3.858734911333212,6.352400150137237,-7.112067525898476
DDD,2026-03-09,99,2.5,2.2621428668498993,2.9757142663002014,5,time,2.430000066757202,-2.799997329711914,5,22.549021899448142,21.95122234882314,4.073525796442922,6.3428568840026855,-7.758623790372514
DDD,2026-03-09,98,2.4914000034332275,2.253542870283127,2.967114269733429,5,time,2.430000066757202,-2.464475258545972,5,22.127453432409496,21.531710311417697,4.314911309418828,6.364751620837711,-7.387934272517582
DDD,2026-03-09,100,2.509999990463257,2.272142857313156,2.9857142567634583,5,time,2.430000066757202,-3.187247968526468,5,23.03921751955851,22.439026773011438,4.402237325082767,6.317586561854946,-8.189657874467477
CF,2026-03-13,94,136.0,125.18641428571428,157.62717142857144,5,stop,125.18641428571428,-7.95116596638656,1,22.76584220978515,39.9752984767394,2.863307594251167,5.300777310924371,-11.658456486042695
CF,2026-03-13,94,136.0,125.18499973842076,157.6300005231585,5,stop,125.18499973842076,-7.952206074690619,1,22.76584356256228,39.97529320085598,2.852849468424809,5.301470716460412,-11.65845368838622
CTMX,2026-03-17,100,6.75,5.863167857142857,8.523664285714286,5,stop,5.863167857142857,-13.138253968253972,1,34.19483101391649,26.760563380281678,13.998856024918103,8.75883597883598,-10.655737704918039
KODK,2026-03-30,92,9.460000038146973,8.669285689081464,11.04142873627799,5,target,11.04142873627799,16.71700519824509,3,20.817370757641275,35.72453834875733,2.526125861336991,5.572335066081694,-6.411694857271219
JBIO,2026-04-02,90,16.020000457763672,14.611071927206858,18.8378575188773,5,time,17.889999389648438,11.67290186298665,5,14.83871452904042,16.255448245277293,3.811527421703987,5.863206368278701,-4.569195671563523
HTZ,2026-04-08,96,5.880000114440918,5.323928552014487,6.99214323929378,4,target,6.99214323929378,18.913998353869193,4,31.250001995691214,42.37288018179388,3.1941614521894226,6.304666117956397,-10.526314374246708
HUM,2026-04-08,85,197.14999389648438,185.7885627746582,219.87285614013672,3,time,198.22999572753906,0.547807184626013,3,18.76505656414722,15.875158459933125,2.9748058281820233,3.8418907679640806,-6.740658989686396
HUT,2026-04-09,81,61.43000030517578,54.08000046866281,76.12999997820172,3,time,71.73999786376953,16.78332656255104,3,30.95288958642941,15.3615029205179,2.5393841951647307,7.976558467631653,-8.018289887349377
LEVI,2026-04-09,94,21.809999465942383,20.4964280128479,24.437142372131348,3,time,22.389999389648438,2.6593302976084856,3,17.955650275399893,18.33965873466308,3.75680465572714,4.015196348035077,-9.186478345076459
MIGI,2026-04-09,100,4.260000228881836,3.546428854976382,5.687142976692744,3,target,5.687142976692744,33.50100166979344,3,118.46154485698736,71.08434588618317,9.600022765245601,11.167000556597817,-23.478265797182914
MIST,2026-04-10,100,2.009999990463257,1.7399999925068448,2.549999986376081,3,time,2.200000047683716,9.452739210046888,3,53.435120477827255,60.79999923706054,3.761430150320416,8.955223855305713,-11.66666909500411
HELE,2026-04-24,97,23.81999969482422,21.992142915725708,27.47571325302124,3,time,23.81999969482422,0.0,3,33.89543827417014,40.28268749698116,3.282617357555008,5.1157481178744675,-14.961392298269569
LYTS,2026-04-24,86,22.670000076293945,21.417500019073486,25.175000190734863,3,time,22.920000076293945,1.1027789993764727,3,16.855672794138975,18.381203800952473,2.6122576123354877,3.6832820261881407,-6.332084431490219
MBLY,2026-04-24,87,8.699999809265137,8.131071192877632,9.837857042040143,3,time,8.729999542236328,0.3448245244700229,3,11.253192049697901,20.66573874112081,3.1788245377860314,4.359606351420975,-6.356961915518915
MOH,2026-04-24,91,174.6999969482422,164.07571247645788,195.94856589181083,4,target,195.94856589181083,12.162890277476015,3,17.3507104710535,20.44122252510705,2.8092014526945586,4.05429675915867,-11.054605339480176
OKLO,2026-04-24,92,76.45999908447266,67.14124924795968,95.09749875749861,4,stop,67.14124924795968,-12.187745158377083,3,19.078025501735763,60.125652532927035,2.536899076879611,8.125163438918051,-3.031936434116975
SKLZ,2026-04-24,100,12.449999809265137,10.16078553029469,17.02842836720603,3,stop,10.16078553029469,-18.387263566597333,1,220.87627427967482,396.0159305405937,17.956293674995376,12.25817571106489,-177.28286066626367
MANE,2026-04-28,100,100.0999984741211,88.36464309692383,123.57070922851562,3,time,101.0,0.8991024371609597,3,35.32512751413146,40.27466033905902,5.6239589523817495,7.815754616107687,-23.732999488387335
OGN,2026-04-28,100,13.15999984741211,11.57653548036303,16.32692858151027,3,time,13.289999961853027,0.9878428263544566,3,42.116625508995334,54.09835955732984,8.578595199796899,8.021602762963893,-13.644213593400375
ORKA,2026-04-28,90,76.38999938964844,69.18678392682756,90.79643031529018,3,stop,69.18678392682756,-9.429526797190919,1,10.919117675568302,24.454216455415434,4.391827795427488,6.286351198127273,-7.591548436124559
RMAX,2026-04-28,100,9.9399995803833,9.191070982388087,11.437856776373728,4,target,11.437856776373728,15.068986511291863,1,46.39174721984271,72.27035724854875,14.252101352793503,5.022995503763951,-22.263215749866596
SGMT,2026-04-28,100,8.119999885559082,7.16224992275238,10.035499811172485,3,time,7.610000133514404,-6.280785212222488,3,26.08695362440292,49.81549393466662,17.51879485640623,7.8633002980702065,-22.28915736193858
KFRC,2026-04-29,100,45.869998931884766,42.041783877781455,53.52642904009138,3,time,43.130001068115234,-5.973398577659279,3,38.20428089735384,53.82293561809226,5.602319906189586,5.563861846153609,-34.04441056575236
KOPN,2026-04-29,100,4.0,3.4921428050313676,5.015714389937265,3,time,4.46999979019165,11.74999475479126,3,40.35088188943969,47.05882198257845,6.293744795146981,8.464286582810539,-1.265821562346669
OMCL,2026-04-29,100,45.5099983215332,42.29785469600132,51.934285572596956,3,stop,42.29785469600132,-7.05810534827474,1,23.836730126620953,25.26836231159093,4.317855244769009,4.705403565516491,-15.186029498588871
RMAX,2026-04-29,100,11.289999961853027,10.412499904632568,13.045000076293945,3,time,10.520000457763672,-6.820190493277694,3,69.77443308185731,90.70945635731857,3.74284558979853,5.181576971865256,-9.611648085295148
SANM,2026-04-29,100,215.4600067138672,199.06286457606723,248.25429098946708,3,time,216.5399932861328,0.5012468850889144,3,23.784907351464813,39.48339807806629,3.8212795138273092,5.073530006143398,-9.021910332708456
GNRC,2026-04-30,95,252.9199981689453,238.0571392604283,282.64571598597934,3,time,263.67999267578125,4.254307522036468,3,18.35836739170609,23.737771879305058,2.9746632771093786,3.917670677452438,-11.17362556876717
KALV,2026-04-30,100,26.670000076293945,24.300107070377894,31.409786088126047,4,time,26.719999313354492,0.18747370422765575,4,36.34969736441662,27.852345618145513,15.569087734109052,5.923991998841594,-25.1818807522608
MXL,2026-04-30,97,67.5199966430664,57.52142524719238,87.51713943481445,3,time,81.68000030517578,20.971570447439376,3,99.23280572170832,206.769631717067,3.2438228193751746,9.87220763524803,-6.297223168256194
NXPI,2026-04-30,96,289.25,271.80392837524414,324.1421432495117,3,time,292.3500061035156,1.0717393616302937,3,28.12846068660022,38.139357583043946,3.1046646553724764,4.020990290926156,-17.964928058729164
PRCH,2026-04-30,99,10.130000114440918,9.216607195990427,11.956785951341901,3,time,11.229999542236328,10.858829371850604,3,25.838507756807605,36.15591446951449,3.602241781817522,6.011141218372385,-17.1098330772194
PRG,2026-04-30,87,35.84000015258789,33.44107185091291,40.63785675593785,3,time,35.52000045776367,-0.8928562875609045,3,11.02850529094277,18.990701042424263,3.117950179288072,4.462292208819946,-6.287066592936973
RSI,2026-04-30,100,27.979999542236328,26.246749537331716,31.446499552045548,3,time,29.170000076293945,4.253039862496386,3,21.073123337363175,22.719300344343374,4.127955135126424,4.129735604625339,-13.417103590214612
STX,2026-04-30,84,643.2999877929688,593.2899998256139,743.3199637276786,3,target,743.3199637276786,15.547952406754737,2,10.936742494332563,23.806777909783072,2.732853063327367,5.182650802251579,-5.825062476969618
GBTG,2026-05-05,100,9.34000015258789,8.688035658427648,10.643929140908376,3,time,9.449999809265137,1.1777264976464463,3,62.152773983500765,52.36541563163966,15.515487845646879,4.653565192784282,-48.371724215873684
RLYB,2026-05-05,100,14.119999885559082,13.045892681394305,16.268214293888636,3,time,14.380000114440918,1.841361409271295,3,60.82004914572827,70.32569301005039,17.97150410040286,5.071327728377188,-50.053136179829934
FLYW,2026-05-07,100,17.510000228881836,16.432678767613,19.664643151419504,4,stop,16.432678767613,-6.1526067800493145,2,27.997074841123993,25.071430206298828,4.510376404568157,4.101737853366207,-20.096024146144245
GDYN,2026-05-07,89,6.760000228881836,6.180357336997986,7.919286012649536,3,time,6.659999847412109,-1.4792955337853222,3,20.4991099464914,15.161846008076818,5.1959061536820474,5.716399134695771,-8.507226455629615
GEO,2026-05-07,89,22.200000762939453,20.89928654261998,24.801429203578405,4,stop,20.89928654261998,-5.859072863145475,1,17.150395087877946,17.398206991406127,3.317901928176547,3.906048575430321,-14.847391880812516
HNGE,2026-05-07,100,54.84000015258789,51.171428952898296,62.17714255196707,3,time,55.220001220703125,0.6929268181216484,3,24.664692112144635,22.520112173921557,3.9911743649728697,4.459726707369424,-4.159541430654167
HNRG,2026-05-07,81,18.549999237060547,17.105713980538503,21.438569750104634,4,time,19.420000076293945,4.69003167124259,4,22.361473771565564,15.576324727962154,2.565929738970094,5.190603112035152,-3.631282862472169
HUT,2026-05-07,100,108.94000244140625,98.92193031311035,128.97614669799805,3,stop,98.92193031311035,-9.195953647682495,1,53.4366231569102,34.92693252880419,3.7673317100366432,6.1306357651216645,-30.968985383169784
IFF,2026-05-07,86,82.93000030517578,78.8757141658238,91.03857258387974,3,stop,78.8757141658238,-4.888805166324054,1,20.380317956044316,16.52381964140881,3.0303181069063094,3.259203444216031,-8.846302202120167
IFRX,2026-05-07,100,2.5,2.0558928719588687,3.3882142560822626,4,time,2.5199999809265137,0.7999992370605469,4,26.262625046329056,56.249997671693606,7.259339288099173,11.842856747763497,-13.122169993091257
LTH,2026-05-07,90,33.59000015258789,31.625000136239187,37.5200001852853,4,stop,31.625000136239187,-5.84995536594933,1,28.059476701477905,20.74047635175622,2.7108209106458174,3.899970243966218,-13.479728782760404
MNKD,2026-05-07,100,3.559999942779541,3.224642838750567,4.230714150837489,3,time,3.2799999713897705,-7.8651678620858325,3,29.45454337380149,29.927004758712993,7.085952665426552,6.280095682007933,-19.46308456354919
OSCR,2026-05-07,84,19.84000015258789,18.55803574834551,22.40392896107265,4,target,22.40392896107265,12.923028169182382,3,10.652536614072217,20.68126221460107,2.922942578796917,4.307676056394124,-5.644299399286766
OSS,2026-05-07,100,15.329999923706055,13.494000162397112,19.00199944632394,3,time,15.550000190734863,1.435096334792565,3,74.40273026433921,47.403850826991544,8.45764904749394,7.984343424423998,-35.90425786001396
PENG,2026-05-07,93,38.9900016784668,35.76221684047154,45.44557135445731,3,target,45.44557135445731,16.55698742776859,2,36.759036707997915,41.370564852516246,2.7384112371722757,5.5189958092562,-5.635334163244446
SMCI,2026-05-07,93,34.65999984741211,31.71142816543579,40.557143211364746,3,stop,31.71142816543579,-8.507131260695818,3,31.686931038331046,18.779984526814133,3.526624872650614,5.671420840463879,-15.76486048483986
OUST,2026-05-14,100,34.16999816894531,29.248926094600133,44.01214231763567,3,stop,29.248926094600133,-14.401733503215674,2,16.244251188369986,33.790121159201924,3.6778066292587486,9.601155668810451,-12.069525829623158
PENG,2026-05-14,95,48.27000045776367,42.854358264378135,59.10128484453474,3,stop,42.854358264378135,-11.219478230840775,3,23.800970453463677,69.30901462731003,3.0474212646228827,7.479652153893844,-3.2513378775693518
SLS,2026-05-14,100,6.53000020980835,5.949285915919713,7.6914287975856235,3,time,7.590000152587891,16.232770424530372,3,26.796118230798992,39.828695998447984,5.190484601249291,5.928680706792611,-19.37843620245478
GEMI,2026-05-18,92,5.579999923706055,4.897285614694868,6.945428541728429,4,stop,4.897285614694868,-12.235023626268267,2,11.599998474121097,18.220342621656883,7.244257047127297,8.156682417512176,-4.494377607870563
SEDG,2026-05-18,97,61.7599983215332,54.45017664773123,76.37964166913714,4,stop,54.45017664773123,-11.835851477433303,1,49.53995027223361,43.929150643560156,3.360412190482388,7.890567651622199,-22.393974320419154
INVX,2026-05-20,83,31.049999237060547,29.203927653176443,34.742142404828755,4,stop,29.203927653176443,-5.945480287421961,4,13.279822728609414,16.37930615404457,2.5700836432375,3.9636535249479716,-1.9369670726242738
PURR,2026-05-20,89,7.789999961853027,6.908642836979458,9.552714211600167,3,time,8.449999809265137,8.472398596201193,3,24.639999389648448,16.616768892799083,3.399518080405746,7.542636963538738,-5.698779956793506
KURA,2026-05-22,91,11.130000114440918,10.198286022458758,12.993428298405238,3,stop,10.198286022458758,-8.371195708913628,3,14.271051088158092,19.420605996606067,3.1455577014481766,5.580797139275754,-7.22543344635017
QBTS,2026-05-22,92,25.739999771118164,22.330713885171072,32.55857154301235,4,time,30.139999389648438,17.09401576400688,4,16.312701072088554,17.053206180225967,3.857556477394955,8.830059353179731,-3.8740882077134935
RGTI,2026-05-22,96,22.040000915527344,19.046108075550624,28.027786595480784,4,time,25.540000915527344,15.880217126189972,4,14.374677695701198,20.174485998667556,4.40963165387324,9.055936828833493,-4.852523480259667
MANU,2026-05-28,90,22.219999313354492,20.961070128849574,24.73785768236433,4,stop,20.961070128849574,-5.6657480801463675,1,12.4493879351127,19.142089908018754,3.1997785418730693,3.7771653867642434,-7.811735348490447
MNTS,2026-05-28,100,19.5,16.53749978542328,25.425000429153442,3,stop,16.53749978542328,-15.192308792701134,1,235.6282304999658,265.1685288913304,5.0017323109257195,10.128205861800756,-19.778864726927555
MOV,2026-05-28,100,34.290000915527344,32.50928633553641,37.85143007550921,3,target,37.85143007550921,10.386203163876736,1,30.03412902630831,29.445078187254126,4.0654067184074885,3.4620677212922466,-14.989943884804841
RDW,2026-05-28,92,24.0,20.69732165336609,30.605356693267822,3,stop,20.69732165336609,-13.761159777641296,2,72.53774452387998,107.6124492112759,2.5279546459624145,9.174106518427532,-3.8961021803801863
HOOD,2026-06-01,83,94.30000305175781,86.90886170523507,109.08228574480329,3,stop,86.90886170523507,-7.837901492395518,1,24.209701430591913,16.85254847312836,2.57552566310644,5.225267661597009,-11.045696049299618
HPE,2026-06-01,100,43.040000915527344,40.01975039073399,49.080501965114046,3,target,49.080501965114046,14.034621099200532,1,26.700027579912124,26.10606378133391,4.195267831690145,4.678207033066846,-11.560391064788941
HPQ,2026-06-01,93,27.040000915527344,24.99785770688738,31.12428733280727,4,stop,24.99785770688738,-7.55230450997245,4,23.470325965887028,30.187772361940368,2.635175138257642,5.034869673314963,-1.4634195218745694
IBM,2026-06-01,96,297.79998779296875,281.15212685721264,331.09570966448103,4,target,331.09570966448103,11.180565223749959,1,17.721463555338257,36.37404151296308,3.084516835139184,3.7268550745833187,-10.751597891178607
LOGI,2026-06-01,89,121.87000274658203,115.74357414245605,134.12285995483398,3,time,118.69000244140625,-2.6093380105917556,3,15.18903519025676,20.723136632748673,2.501389504492145,3.3513462246955865,-7.811395753307876
MOV,2026-06-01,92,38.279998779296875,36.02892712184361,42.78214209420341,4,time,37.2599983215332,-2.6645780833078887,4,39.19999556107954,39.35201942537772,2.5955928443994405,3.9203617715730275,-6.987143894053337
MX,2026-06-01,100,8.800000190734863,7.4885715416499545,11.42285748890468,3,time,8.550000190734863,-2.840909029334046,3,52.777775018303586,103.23326433694086,4.9217632181874205,9.93506530803378,-24.82269436389316
NTAP,2026-06-01,100,174.2899932861328,161.26892117091586,200.3321375165667,3,time,178.8699951171875,2.6278053861277475,3,40.61314850932276,45.32643445562557,4.266871943148428,4.980615685277343,-21.32962108702067
OKTA,2026-06-01,100,123.2699966430664,113.87892668587821,142.0521365574428,3,time,123.4800033569336,0.1703632023900114,3,37.82423219836426,52.09129179717276,4.42320520146096,5.078862233541141,-27.555874815403232
PD,2026-06-01,100,9.949999809265137,9.14674973487854,11.55649995803833,3,stop,9.14674973487854,-8.072865223963468,2,41.13474524924785,47.84546480038414,4.110423757895029,5.381910149308979,-28.221643244704715
REPL,2026-06-01,100,8.6899995803833,7.391320824623108,11.287357091903687,3,time,9.869999885559082,13.578830404543396,3,66.47509443796838,76.26774610480611,5.8433309728787775,9.963013567087808,-56.576563634904616
SPCE,2026-06-01,100,6.179999828338623,5.360035530158451,7.819928424698966,3,stop,5.360035530158451,-13.268031083434572,1,124.72726648504081,114.58331884609385,7.427187932980045,8.845354055623046,-36.123345380298645
GPRK,2026-06-02,85,11.34000015258789,10.623214483261108,12.773571491241455,3,stop,10.623214483261108,-6.320861196489537,3,16.546769641281212,18.371610051130084,2.508542187780993,4.213907464326358,-7.89723982522081
HPE,2026-06-02,100,47.0,43.55546365465437,53.889072690691265,3,target,53.889072690691265,14.657601469555884,1,25.066518653442383,41.993964249715866,4.3190904658394205,4.885867156518629,-5.440267404497141
IBM,2026-06-02,95,320.4200134277344,301.36143493652344,358.53717041015625,3,stop,301.36143493652344,-5.947998780516029,2,26.229127816885867,46.11035520693123,3.0692519634543314,3.965332520344019,-6.4518317035662385
MGM,2026-06-02,100,50.689998626708984,47.68678447178432,56.69642693655832,4,stop,47.68678447178432,-5.924668053437753,2,32.00519951163929,37.11116297805987,4.460629676990997,3.9497787022918387,-14.47606148175665
PURR,2026-06-02,93,10.869999885559082,9.428928426333837,13.752142804009573,3,stop,9.428928426333837,-13.257327271362026,2,41.720987971767265,55.50787183817387,2.6840571646594125,8.838218180908022,-6.204203714531304
SAIC,2026-06-02,97,115.08000183105469,107.94321605137416,129.35357339041573,3,time,114.3499984741211,-0.6343442347222835,3,15.068492523674127,23.835146296287334,3.2342203187530716,4.134390954771224,-8.54556260597731
SPCE,2026-06-02,100,7.519999980926514,6.436464275632586,9.687071391514369,3,stop,6.436464275632586,-14.408719521837405,1,132.0987641602423,167.6156631337162,7.590556706342509,9.605813014558272,-13.767017080652927
FTK,2026-06-03,86,23.329999923706055,21.069285597120015,27.85142857687814,3,time,23.549999237060547,0.942988915876278,3,17.947417157863566,17.354129318818412,2.831023640386631,6.4601066837521,-4.901079873226494
GRRR,2026-06-03,100,21.780000686645508,19.503964866910664,26.3320723261152,3,stop,19.503964866910664,-10.450118218455357,1,32.32078917423156,67.66744472983706,3.9175214715393443,6.966745478970243,-2.014052915657045
HPE,2026-06-03,100,56.150001525878906,51.005108152117046,66.43978827340263,4,stop,51.005108152117046,-9.162766222527415,2,47.53021413520686,70.15151977539062,4.668546771346398,6.108510815018274,-17.05232457164378
MRVL,2026-06-03,96,290.7900085449219,260.99465506417414,350.3807155064174,3,time,288.8500061035156,-0.6671489337318666,3,39.62835696482119,72.13640037445592,3.2214602501695384,6.8308980375770405,-29.159638151039243
RZLT,2026-06-03,100,4.0,3.613107136317662,4.773785727364676,3,time,4.079999923706055,1.9999980926513672,3,21.21212296358923,23.45678976006922,4.585072269388144,6.448214394705635,-10.192833991578768
MMED,2026-06-04,100,14.260000228881836,12.979643208639963,16.82071426936558,3,time,15.119999885559082,6.030853035580077,3,32.03703682445531,30.94581982842095,3.69085252022402,5.985773724597243,-13.62549810484779
MRVL,2026-06-04,95,301.6499938964844,270.18321119035994,364.58355930873324,3,stop,270.18321119035994,-10.431554232659034,1,51.81177580745451,71.1295096074448,2.978424049367885,6.954369488439357,-3.553040349205757
RZLT,2026-06-04,96,4.579999923706055,4.146499923297338,5.44699992452349,3,stop,4.146499923297338,-9.465065668777054,2,37.95180770478379,47.74193756786278,3.1474899109274728,6.31004377918471,-7.259951853964097
HSCS,2026-06-24,100,2.75,2.347678533622197,3.5546429327556064,3,time,2.940000057220459,6.909092989834872,2,49.456519027907866,49.456519027907866,19.850458962313578,9.753247669764926,-22.767856620176108
